Resistance_Ohm,Soil_Water_Tension_cb
20500,139.4
20550,139.8
20600,140.2
20650,140.6
20700,141
20750,141.4
20800,141.8
20850,142.2
20900,142.6
20950,143
21000,143.4
21050,143.8
21100,144.2
21150,144.6
21200,145
21250,145.4
21300,145.8
21350,146.2
21400,146.6
21450,147
21500,147.4
21550,147.8
21600,148.2
21650,148.6
21700,149
21750,149.4
21800,149.8
21850,150.2
21900,150.6
21950,151
22000,151.4
22050,151.8
22100,152.2
22150,152.6
22200,153
22250,153.4
22300,153.8
22350,154.2
22400,154.6
22450,155
22500,155.4
22550,155.8
22600,156.2
22650,156.6
22700,157
22750,157.4
22800,157.8
22850,158.2
22900,158.6
22950,159
23000,159.4
23050,159.8
23100,160.2
23150,160.6
23200,161
23250,161.4
23300,161.8
23350,162.2
23400,162.6
23450,163
23500,163.4
23550,163.8
23600,164.2
23650,164.6
23700,165
23750,165.4
23800,165.8
23850,166.2
23900,166.6
23950,167
24000,167.4
24050,167.8
24100,168.2
24150,168.6
24200,169
24250,169.4
24300,169.8
24350,170.2
24400,170.6
24450,171
24500,171.4
24550,171.8
24600,172.2
24650,172.6
24700,173
24750,173.4
24800,173.8
24850,174.2
24900,174.6
24950,175
25000,175.4
25050,175.8
25100,176.2
25150,176.6
25200,177
25250,177.4
25300,177.8
25350,178.2
25400,178.6
25450,179
25500,179.4
25550,179.8
25600,180.2
25650,180.6
25700,181
25750,181.4
25800,181.8
25850,182.2
25900,182.6
25950,183
26000,183.4
26050,183.8
26100,184.2
26150,184.6
26200,185
26250,185.4
26300,185.8
26350,186.2
26400,186.6
26450,187
26500,187.4
26550,187.8
26600,188.2
26650,188.6
26700,189
26750,189.4
26800,189.8
26850,190.2
26900,190.6
26950,191
27000,191.4
27050,191.8
27100,192.2
27150,192.6
27200,193
27250,193.4
27300,193.8
27350,194.2
27400,194.6
27450,195
27500,195.4
27550,195.8
27575,196
27600,196.128
27650,196.384
27700,196.64
27750,196.896
27770,197.56
27800,197.8
27850,198.2
27900,198.6
27950,199
